gene,distance,Z,FC,p.value,p.adj
BRD7,1.51411096372967e-09,-0.000299282587111578,0.00651938564523404,0.935646567908375,0.999950297526443
RANGRF,1.51355391999607e-09,-0.000552894096527301,0.00651458954379213,0.935670192256865,0.999950297526443
CIITA,1.51104272730344e-09,-0.00169730867616315,0.00649299028893786,0.93577669319976,0.999950297526443
SRSF6,1.50791133281516e-09,-0.00312693090852332,0.00646610680495916,0.935909498821989,0.999950297526443
PILRB,1.50781077004372e-09,-0.00317288964580806,0.00646524438297989,0.935913763820887,0.999950297526443
ADAM10,1.50773490249058e-09,-0.00320756423893657,0.00646459378418941,0.935916981464438,0.999950297526443
SMARCC1,1.50603234055249e-09,-0.00398614688043701,0.00645000215139545,0.935989189649513,0.999950297526443
GPANK1,1.50538325603851e-09,-0.00428319658489052,0.00644444357976481,0.936016718428199,0.999950297526443
ISG20L2,1.50422499249006e-09,-0.00481357530262359,0.00643453049953898,0.936065842546149,0.999950297526443
RAD1,1.50367709799326e-09,-0.00506459773174079,0.00642984396418799,0.93608907985872,0.999950297526443
LPP,1.50329968848806e-09,-0.00523756222487494,0.00642661670257148,0.936105086590018,0.999950297526443
MAZ,1.50239356436684e-09,-0.00565300402607599,0.006418871663527,0.936143517326181,0.999950297526443
C15orf40,1.50086570193627e-09,-0.0063540479403548,0.00640582293063697,0.936208317701587,0.999950297526443
USP16,1.50014417299899e-09,-0.00668535273510306,0.00639966531691526,0.936238919652095,0.999950297526443
SDF2,1.49993951840567e-09,-0.00677935199025017,0.00639791930931387,0.936247599611812,0.999950297526443
ATXN2L,1.49735702986026e-09,-0.00796656794037779,0.00637590731555933,0.936357130648248,0.999950297526443
FAM195B,1.49733853337845e-09,-0.00797507820451965,0.0063757497965135,0.936357915143518,0.999950297526443
EFCAB14,1.49579071890853e-09,-0.008687588943262,0.00636257525114847,0.936423563151102,0.999950297526443
DCP2,1.49485134419293e-09,-0.0091203604468102,0.00635458621167022,0.936463405396998,0.999950297526443
KIDINS220,1.49435724900354e-09,-0.00934809592895907,0.00635038612636584,0.936484361807353,0.999950297526443
MRPS9,1.49417678824747e-09,-0.00943129091091581,0.00634885245523539,0.936492015828601,0.999950297526443
